city,artist,venue,weekend,pop,month,score,genre,minprice
Camden,Bad Wolves,BB&T Pavilion  ,0,76903,8,68,Rock,30.0
Indianapolis,Metallica,Bankers Life Fieldhouse,1,843393,3,82,Metal,65.0
Dallas,Luke Bryan,Dos Equis Pavilion,1,1257676,9,79,Country,40.0
Irving,Leon Bridges,The Pavilion at Toyota Music Factory,1,228653,6,76,R&B,25.0
Tampa,Lil Uzi Vert,MIDFLORIDA Credit Union Amphitheatre at the FL State Fairgrounds,0,352957,9,89,Hip-Hop/Rap,29.5
Nashville,Bad Bunny,Bridgestone Arena,1,634464,9,95,Hip-Hop/Rap,65.96
Chula Vista,Lil Uzi Vert,Mattress Firm Amphitheatre (Formerly Sleep Train Amphitheatre),0,256780,8,89,Hip-Hop/Rap,25.0
Corpus Christi,Foster The People,Concrete Street Amphitheater,0,316381,7,77,Rock,44.5
Maryland Heights,Lil Uzi Vert,"Hollywood Casino Amphitheatre - St. Louis, MO",1,???,8,89,Hip-Hop/Rap,29.5
Raleigh,Lil Uzi Vert,Coastal Credit Union Music Park at Walnut Creek,0,431746,9,89,Hip-Hop/Rap,29.5
Milwaukee,MercyMe,Miller High Life Theatre,0,599164,10,65,Rock,22.0
Bristow,Lil Uzi Vert,Jiffy Lube Live,0,???,8,89,Hip-Hop/Rap,29.5
Clarkston,SZA,DTE Energy Music Theatre,0,???,6,86,Hip-Hop/Rap,44.5
Bonner Springs,Lil Uzi Vert,Providence Medical Center Amphitheater,0,???,8,89,Hip-Hop/Rap,29.5
Toronto,SZA,Budweiser Stage,0,???,6,86,Hip-Hop/Rap,43.75
Saratoga Springs,SZA,Saratoga Performing Arts Center,1,???,6,86,Hip-Hop/Rap,20.0
Camden,SZA,BB&T Pavilion  ,0,76903,6,86,Hip-Hop/Rap,29.5
Tinley Park,SZA,"Hollywood Casino Amphitheatre - Chicago, IL",0,57282,6,86,Hip-Hop/Rap,39.5
Burgettstown,SZA,KeyBank Pavilion,1,???,6,86,Hip-Hop/Rap,35.0
