event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1009,63,Iran,away,25.0,Yellow card, Alireza Jahanbakhsh ,sin información
1010,63,England,home,35.0,Goal, Jude Bellingham , Luke Shaw 
1011,63,England,home,43.0,Goal, Bukayo Saka , Harry Maguire 
1012,63,England,home,46.0,Goal, Raheem Sterling , Harry Kane 
1013,63,Iran,away,45.0,Substitution, Saeid Ezatolahi , Ali Karimi 
1014,63,Iran,away,45.0,Substitution, Ali Gholizadeh , Alireza Jahanbakhsh 
1015,63,Iran,away,45.0,Substitution, Hossein Kanani , Roozbeh Cheshmi 
1016,63,Iran,away,48.0,Yellow card, Morteza Pouraliganji ,sin información
1017,63,England,home,62.0,Goal, Bukayo Saka , Raheem Sterling 
1018,63,Iran,away,63.0,Substitution, Mehdi Torabi , Milad Mohammadi 
1019,63,Iran,away,65.0,Goal, Mehdi Taremi , Ali Gholizadeh 
1020,63,England,home,70.0,Substitution, Eric Dier , Harry Maguire 
1021,63,England,home,71.0,Substitution, Marcus Rashford , Bukayo Saka 
1022,63,England,home,71.0,Substitution, Jack Grealish , Raheem Sterling 
1023,63,England,home,71.0,Substitution, Phil Foden , Mason Mount 
1024,63,England,home,71.0,Goal, Marcus Rashford , Harry Kane 
1025,63,England,home,76.0,Substitution, Callum Wilson , Harry Kane 
1026,63,Iran,away,77.0,Substitution, Sardar Azmoun , Ahmad Nourollahi 
1027,63,England,home,90.0,Goal, Jack Grealish , Callum Wilson 
1028,63,Iran,away,103.0,Penalty, Mehdi Taremi , Penalty 
1029,64,Ecuador,away,4.0,Disallowed goal,Disallowed goal,sin información
1030,64,Qatar,home,15.0,Yellow card, Saad Al Sheeb ,sin información
1031,64,Ecuador,away,16.0,Penalty, Enner Valencia , Penalty 
1032,64,Qatar,home,22.0,Yellow card, Almoez Ali ,sin información
1033,64,Ecuador,away,29.0,Yellow card, Moisés Caicedo ,sin información
1034,64,Ecuador,away,31.0,Goal, Enner Valencia , Ángelo Preciado 
1035,64,Qatar,home,36.0,Yellow card, Karim Boudiaf ,sin información
1036,64,Ecuador,away,56.0,Yellow card, Jhegson Méndez ,sin información
1037,64,Ecuador,away,68.0,Substitution, Jeremy Sarmiento , Romario Ibarra 
1038,64,Qatar,home,71.0,Substitution, Mohammed Waad , Hassan Al Haydos 
1039,64,Qatar,home,72.0,Substitution, Mohammed Muntari , Almoez Ali 
1040,64,Ecuador,away,77.0,Substitution, José Cifuentes , Enner Valencia 
1041,64,Qatar,home,78.0,Yellow card, Akram Afif ,sin información
1042,64,Ecuador,away,90.0,Substitution, Kevin Rodríguez , Michael Estrada 
1043,64,Ecuador,away,90.0,Substitution, Alan Franco , Moisés Caicedo 
